candidate_model_key,evaluation_family,condition_id,row_count,metric_group,metric,count,mean,stdev,p50,p90,p95,max
llama31_8b_instruct,rag_performance,base,40,latency_ms,input_load_ms,40,0.005796,0.003676,0.004438,0.011132,0.01431,0.01785
llama31_8b_instruct,rag_performance,base,40,latency_ms,image_perturb_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,query_embedding_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,metadata_filter_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,vector_search_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,rerank_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,context_assembly_ms,40,0.005959,0.003863,0.00432,0.012576,0.013914,0.015057
llama31_8b_instruct,rag_performance,base,40,latency_ms,retrieval_total_ms,0,,,,,,
llama31_8b_instruct,rag_performance,base,40,latency_ms,prompt_build_ms,40,0.014197,0.005749,0.013043,0.023799,0.024696,0.033544
llama31_8b_instruct,rag_performance,base,40,latency_ms,preprocess_ms,40,2.949899,0.764611,3.190402,3.807119,4.01557,4.88207
llama31_8b_instruct,rag_performance,base,40,latency_ms,ttft_ms,40,85.559801,14.512093,80.953339,103.314281,105.552812,114.454437
llama31_8b_instruct,rag_performance,base,40,latency_ms,generation_ms,40,3184.250544,3196.905539,1722.009742,7075.082792,9720.572156,13291.980734
llama31_8b_instruct,rag_performance,base,40,latency_ms,decode_ms,40,0.223816,0.100594,0.184501,0.349326,0.449343,0.492208
llama31_8b_instruct,rag_performance,base,40,latency_ms,question_to_response_ms,40,3187.66355,3196.884505,1725.551774,7078.094059,9723.327133,13295.896131
llama31_8b_instruct,rag_performance,base,40,resources,process_rss_peak_mib,40,2577.410156,0.556863,2577.597656,2577.597656,2577.597656,2577.597656
llama31_8b_instruct,rag_performance,base,40,resources,system_memory_used_peak_mib,40,110785.742871,724.36565,110911.064453,111702.338281,111792.536718,112038.371094
llama31_8b_instruct,rag_performance,base,40,resources,gpu_device_memory_used_peak_mib,40,20997.35,235.564086,20817.0,21301.0,21301.0,21301.0
llama31_8b_instruct,rag_performance,base,40,resources,torch_allocated_peak_mib,40,19743.196106,8.889358,19740.914551,19742.259179,19773.891602,19773.891602
llama31_8b_instruct,rag_performance,base,40,resources,torch_reserved_peak_mib,40,20644.35,235.564086,20464.0,20948.0,20948.0,20948.0
llama31_8b_instruct,rag_performance,base,40,resources,gpu_utilization_mean_pct,40,83.197822,14.398377,87.416666,95.666667,95.7625,96.2
llama31_8b_instruct,rag_performance,base,40,resources,gpu_utilization_peak_pct,40,94.1,5.400855,96.0,96.1,97.0,97.0
llama31_8b_instruct,rag_performance,base,40,resources,gpu_power_mean_w,40,241.007032,8.270003,241.85875,249.288,249.7679,252.37
llama31_8b_instruct,rag_performance,base,40,resources,gpu_power_peak_w,40,248.2735,8.203412,250.48,254.649,256.6425,260.97
llama31_8b_instruct,rag_performance,base,40,throughput,output_tokens_per_generation_second,40,27.877066,2.17072,28.567342,29.545982,29.615149,29.745294
llama31_8b_instruct,rag_performance,base,40,overhead,unattributed_end_to_end_overhead_ms,40,0.213338,0.041184,0.203004,0.269462,0.294751,0.308565
llama31_8b_instruct,rag_performance,rag,40,latency_ms,input_load_ms,40,0.00373,0.001548,0.003439,0.004875,0.004972,0.011414
llama31_8b_instruct,rag_performance,rag,40,latency_ms,image_perturb_ms,0,,,,,,
llama31_8b_instruct,rag_performance,rag,40,latency_ms,query_embedding_ms,40,60.901172,17.432323,58.267373,82.956282,88.035982,94.910928
llama31_8b_instruct,rag_performance,rag,40,latency_ms,metadata_filter_ms,40,0.010908,0.004433,0.009945,0.0172,0.02173,0.02214
llama31_8b_instruct,rag_performance,rag,40,latency_ms,vector_search_ms,40,226.590111,187.679253,171.413559,361.448004,390.786555,1251.150666
llama31_8b_instruct,rag_performance,rag,40,latency_ms,rerank_ms,40,267.043898,75.946725,219.319573,360.647148,363.192921,373.851944
llama31_8b_instruct,rag_performance,rag,40,latency_ms,context_assembly_ms,40,0.075794,0.007244,0.07352,0.085908,0.088072,0.093431
llama31_8b_instruct,rag_performance,rag,40,latency_ms,retrieval_total_ms,40,501.082637,218.789075,463.818106,703.106875,732.148114,1604.815648
llama31_8b_instruct,rag_performance,rag,40,latency_ms,prompt_build_ms,40,0.006388,0.000876,0.006242,0.007387,0.00773,0.009721
llama31_8b_instruct,rag_performance,rag,40,latency_ms,preprocess_ms,40,5.076973,0.738848,4.890256,5.864136,6.552003,7.484884
llama31_8b_instruct,rag_performance,rag,40,latency_ms,ttft_ms,40,841.005402,229.87265,809.221186,1038.15558,1123.493202,1959.384524
llama31_8b_instruct,rag_performance,rag,40,latency_ms,generation_ms,40,8045.897713,4570.086699,7852.112357,13725.51239,13780.849025,13983.521618
llama31_8b_instruct,rag_performance,rag,40,latency_ms,decode_ms,40,0.355323,0.180933,0.329002,0.590043,0.711734,0.825657
llama31_8b_instruct,rag_performance,rag,40,latency_ms,question_to_response_ms,40,8552.873999,4565.503304,8288.123955,14141.184201,14261.319593,14505.874927
llama31_8b_instruct,rag_performance,rag,40,resources,process_rss_peak_mib,40,2577.485156,0.320006,2577.597656,2577.597656,2577.597656,2577.597656
llama31_8b_instruct,rag_performance,rag,40,resources,system_memory_used_peak_mib,40,110900.579199,743.667976,111064.496094,111729.096875,111944.732422,111998.992188
llama31_8b_instruct,rag_performance,rag,40,resources,gpu_device_memory_used_peak_mib,40,21012.85,234.521395,20937.0,21301.0,21301.0,21301.0
llama31_8b_instruct,rag_performance,rag,40,resources,torch_allocated_peak_mib,40,20137.249072,40.067745,20129.967286,20195.262402,20217.25874,20224.663574
llama31_8b_instruct,rag_performance,rag,40,resources,torch_reserved_peak_mib,40,20659.85,234.521395,20584.0,20948.0,20948.0,20948.0
llama31_8b_instruct,rag_performance,rag,40,resources,gpu_utilization_mean_pct,40,89.109569,9.450221,93.8125,96.01875,96.29365,96.5
llama31_8b_instruct,rag_performance,rag,40,resources,gpu_utilization_peak_pct,40,97.05,2.707539,97.0,100.0,100.0,100.0
llama31_8b_instruct,rag_performance,rag,40,resources,gpu_power_mean_w,40,243.723325,7.698381,246.033333,250.931813,251.652261,252.1025
