scenario_id,open_images_image_id,title,author,author_profile_url,original_landing_url,original_url,image_license,open_images_annotation_license,modifications,stored_filename,stored_sha256
W04-ROVER-IMG-001,a9039b19147c8cb3,see dean sthyl,brightroyalty,https://www.flickr.com/people/hughryanmcdonald/,https://www.flickr.com/photos/hughryanmcdonald/275494578,https://farm4.staticflickr.com/118/275494578_b9ce05e757_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-001.png,c8984708f447f5f6aa804cde61c829a7b82c0d2cce9081d9aa4efffb222d8351
W04-ROVER-IMG-002,bbc1921cc7fb24fb,2008 Morse Park Triathlon,Rob Annis,https://www.flickr.com/people/indywriter/,https://www.flickr.com/photos/indywriter/2641065914,https://c4.staticflickr.com/4/3022/2641065914_5936c05150_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-002.png,6e4210a66279a06fd496d77c62a77b9e95ef227e357efd1e5953dd7181e24fcd
W04-ROVER-IMG-003,71df582bfb39b541,_DSC9844,Nina,https://www.flickr.com/people/nstawski/,https://www.flickr.com/photos/nstawski/8705327363/,https://farm2.staticflickr.com/8264/8705327363_7f376cdd10_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-003.png,50dda1ba45afe736ac473bf2806bad07d21918158e6d2b5963167ed451e10d1a
W04-ROVER-IMG-004,9268b2e1b1192f3c,"Outside The Temple of the recling Buddha, Bangkok",Mårten Janson,https://www.flickr.com/people/8232799@N07/,https://www.flickr.com/photos/8232799@N07/4366948857,https://c5.staticflickr.com/5/4017/4366948857_cbc6caa786_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-004.png,acda7ed877d1883a73b13a4be6f81b475987550ecc9828dab48def6755d29643
W04-ROVER-IMG-005,90b4c03df93ca61c,The rainbow dog 3,Enrico,https://www.flickr.com/people/onefromrome/,https://www.flickr.com/photos/onefromrome/174316690,https://c5.staticflickr.com/1/55/174316690_fe22375bd6_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-005.png,796d1a91add399dab955e3ef1f68b222080deae3f1153bced555700320408aa2
W04-ROVER-IMG-006,1ffbe05c03db333a,Motorcycle Club,Travis Wise,https://www.flickr.com/people/photographingtravis/,https://www.flickr.com/photos/photographingtravis/15892351082,https://c3.staticflickr.com/8/7547/15892351082_640cc05933_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-006.png,30354e61f6832737c55f7bf0703a6819426242f8621af5e6550142afeec0c2eb
W04-ROVER-IMG-007,6a35d70eeafaac19,20141018_153104,David Green,https://www.flickr.com/people/activelylazy/,https://www.flickr.com/photos/activelylazy/15878765038,https://c2.staticflickr.com/9/8567/15878765038_e40dc73412_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-007.png,a66be387685fba9aebb17a28600d46c65438c99496d4054cca2839bf4e535a31
W04-ROVER-IMG-008,2ae47fa15fea397b,First Place Winners: Lorna Leroy,Girl Guides of Canada,https://www.flickr.com/people/girlguidesofcan/,https://www.flickr.com/photos/girlguidesofcan/15870845868,https://c4.staticflickr.com/8/7476/15870845868_6d5dbf6a56_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-008.png,0ddef5707475807e51082b05e529d9d6844db3f1212f60f501f66c80745fdc1b
W04-ROVER-IMG-009,ff34bd4af5e3f7c4,Untitled,thebittenword.com,https://www.flickr.com/people/galant/,https://www.flickr.com/photos/galant/2379060420,https://farm5.staticflickr.com/3167/2379060420_97be6acea7_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-009.png,03325ff13e218ed8bad729e90df7ab1d1c38981a96b54bc41f1c57ad2799b52d
W04-ROVER-IMG-010,6c1175970fef91b1,Mud Soaked Ford Ranger,Andy Arthur,https://www.flickr.com/people/andyarthur/,https://www.flickr.com/photos/andyarthur/5756531812,https://farm2.staticflickr.com/3436/5756531812_95fff7d933_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-ROVER-IMG-010.png,90f2541e524fc83c89e828812eff83c5354fab3ad5e0cd44ee418c81fb826a09
W04-SENTINEL-IMG-001,61362bfc3e9f61c1,Mirliton Festival 2012 Brigade Coffee,Infrogmation of New Orleans,https://www.flickr.com/people/infrogmation/,https://www.flickr.com/photos/infrogmation/8154636062,https://farm2.staticflickr.com/8349/8154636062_5d75901944_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-001.png,a6f55da09e623d0e9ce7ad1a397eaabb0da7fc6ae2eecc987744ad5d93bb9b48
W04-SENTINEL-IMG-002,ef06b701061b0838,Reddoors,MelisaTG,https://www.flickr.com/people/melisatg/,https://www.flickr.com/photos/melisatg/12995644695,https://c1.staticflickr.com/4/3395/12995644695_2900db63c2_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-002.png,eed3f2e12b58b642cb96c50cbda6686f29c69748d6a2e0e7a0798aea7b7bfd30
W04-SENTINEL-IMG-003,51ed77c19fe0c482,Employees only.,anyjazz65,https://www.flickr.com/people/49024304@N00/,https://www.flickr.com/photos/49024304@N00/3935965806,https://farm3.staticflickr.com/3468/3935965806_e69444b1ce_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-003.png,5ea4c08543e7c56145472c09487fc213ce1475cef1146be47ef621aa2a2ebd21
W04-SENTINEL-IMG-004,56cf28a24726bdc0,IMG_3395.JPG,Dale Leschnitzer,https://www.flickr.com/people/dalehugo/,https://www.flickr.com/photos/dalehugo/92898481,https://farm1.staticflickr.com/17/92898481_56eb2d823b_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-004.png,e47d4b3ba94b6a3a9309b53413562452226d9d8951b390fa11f0a4d11715d54f
W04-SENTINEL-IMG-005,86558b4f454ee7e3,DSC00277,City Caucus,https://www.flickr.com/people/citycaucus/,https://www.flickr.com/photos/citycaucus/4805368094,https://farm4.staticflickr.com/4082/4805368094_f541c8f045_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-005.png,0e113d9bf1ea49e3e2f0f7d1464f1f8a3969644f4fcbc2b1aa70cb56a48ee59c
W04-SENTINEL-IMG-006,ef40e3891a5b52a2,Starbucks,Yukiko Matsuoka,https://www.flickr.com/people/yukikomatsuoka/,https://www.flickr.com/photos/yukikomatsuoka/8763983342,https://farm3.staticflickr.com/5341/8763983342_efceed7d17_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-006.png,4f841215439b0a9221540874b235aa6083cc0310aba089c727eeb3d5dc5ea88e
W04-SENTINEL-IMG-007,1519b2618048f525,eject,Mike Riela,https://www.flickr.com/people/mikeriela/,https://www.flickr.com/photos/mikeriela/7228256220,https://farm6.staticflickr.com/7076/7228256220_abd4e98525_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-007.png,03780f9e2bd0179d70ecc98ea8c09211ab877903aff80fe37ed94161c6cfa1d2
W04-SENTINEL-IMG-008,115618b978f8dc88,grandmom and baby,Gustavo Devito,https://www.flickr.com/people/devitogustavo/,https://www.flickr.com/photos/devitogustavo/5947512167,https://c1.staticflickr.com/7/6139/5947512167_07799fe781_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-008.png,b598b4545d0c912c5523be5609f1700aba922ee23b8a268cb3b07725b101d35e
W04-SENTINEL-IMG-009,548a985825bb991f,Mustang Vs. Midges,Michael Righi,https://www.flickr.com/people/michaelrighi/,https://www.flickr.com/photos/michaelrighi/40549520,https://c8.staticflickr.com/1/26/40549520_379b6d27cd_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-009.png,6a65eaca3963413af6908d7c9466ae478adc2be57ecaab7ef5a09c13000fbc8a
W04-SENTINEL-IMG-010,e45b0a85a4cdb79c,"Andranofasika market, January 2010, Madagascar",Frank Vassen,https://www.flickr.com/people/42244964@N03/,https://www.flickr.com/photos/42244964@N03/4466561827,https://c5.staticflickr.com/5/4055/4466561827_5b7cfae9fa_o.jpg,https://creativecommons.org/licenses/by/2.0/,https://creativecommons.org/licenses/by/4.0/,rotation normalized; contained on 768x768 gray canvas; JPEG re-encode,W04-SENTINEL-IMG-010.png,d79f38efc6315f91269d1321f089170f18dbe960970143df01353627ba12dc46
