export_version,run_item_id,model_key,model_id,model_revision,eval_id,platform,condition,seed,precision,cold_or_warm,prompt_tokens,output_tokens,total_tokens,retrieval_latency_returned_ms,query_embedding_ms,vector_search_ms,rerank_ms,context_assembly_ms,preprocess_ms,ttft_ms,generation_ms,decode_ms,question_to_response_ms,gpu_peak_mib,gpu_utilization_mean_pct,gpu_power_mean_w,process_rss_peak_mib,candidate_messages_sha256,candidate_output_sha256,quality_status
1.0.0,w04-rag-perf::W03-LONG-FARI-001::base,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-001,Fari,base,42,bfloat16,warm_steady_state,114,11,125,,,,,0.004246,1.489889,44.827813,379.389462,0.146402,381.179547,21281.0,86.333333,221.686667,2684.332031,e213e04a45ffa1146cf4ab6aafa12f258bb0a8b954b2e2ac201e42db1dd3fff6,064637d3413813085d4ccdfd4a11f449566556eb4e83eb409aa9ec23a8d2060c,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-001::rag,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-001,Fari,rag,42,bfloat16,warm_steady_state,3761,325,4086,1008.221764,36.896356,139.804334,860.342521,0.110148,15.008801,1673.522587,12404.774016,1.097273,13430.600028,21281.0,95.1875,233.341875,2687.964844,11792b21d3c6be6311a4f37fafac840da299e4d83e085086f72e8e049039a088,3b84d6bd5cbfe10df0d8e6ccd9fa020151559448613754d51ec8cb14f0e21859,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-002::base,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-002,Fari,base,42,bfloat16,warm_steady_state,107,11,118,,,,,0.007441,2.285544,52.664848,379.784595,0.10536,382.360885,21281.0,80.666667,226.026667,2687.976562,f478ba0e5a9abd4fd1cb9ac5639cbc21cfea9bb7d59f99e8200e8ecb80efe45d,a77b19b5401ddc93d039bca9f012f028ff79f520400992e2e691be266156bee1,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-002::rag,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-002,Fari,rag,42,bfloat16,warm_steady_state,3646,72,3718,977.113419,32.265082,118.611142,853.530931,0.070481,10.462418,1619.469854,3145.947168,0.243565,4134.321695,21281.0,97.0,237.344286,2688.421875,85b9c34403fb589839dc59c5c806e343323279f412c2f11b99654ee139461e72,e197200281c1789b3a51f5dc0fc38c2d785f37d29e1553a8ce3fedd4431de95a,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-003::base,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-003,Fari,base,42,bfloat16,warm_steady_state,112,11,123,,,,,0.004612,1.450621,49.542991,376.348666,0.097721,378.055071,21281.0,97.666667,232.333333,2688.421875,955ae59de1852ea241fcc85b0526314cf7ba5f0a0b3598c38711fba8e86b75ea,a77b19b5401ddc93d039bca9f012f028ff79f520400992e2e691be266156bee1,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-003::rag,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-003,Fari,rag,42,bfloat16,warm_steady_state,3741,83,3824,1000.219184,16.167663,137.542291,857.794674,0.106903,9.809393,1666.96079,3586.847608,0.275502,4597.767022,21281.0,96.714286,240.015714,2688.925781,6af73ea8a5f6fdd6cfd170306242ea25f57d03cd5f00fdaefcdac377a0031124,0a9b11ff0807eecbb2d10b34c3c9dbb5395464fedfb0875fe1e65e95710dd226,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-004::base,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-004,Fari,base,42,bfloat16,warm_steady_state,117,33,150,,,,,0.002571,1.165398,45.164117,1117.958738,0.159581,1119.453709,21281.0,95.25,231.07,2688.925781,a00d17b1dda0020f4ef8dff7153d2438709d537ec70fd57ffad2b44cf506cb98,58f36d538df25022687d3a7d2b1f9e372b8a50706320e56fa8c9cc3d6e4218c9,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-004::rag,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-004,Fari,rag,42,bfloat16,warm_steady_state,3811,379,4190,986.300309,28.464616,114.592117,866.235668,0.079441,11.283238,1660.438479,14410.192058,0.830839,15410.248082,22092.0,94.777778,239.457222,2688.925781,0f9ddc41f06e60a438d7f968f6227e4b52b4347bab83df87193223e408c5b779,72be4cc409e8f323e5e810bd7b5919a5531f612510ef11401ecae0dcf485d99f,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-005::base,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-005,Fari,base,42,bfloat16,warm_steady_state,114,11,125,,,,,0.006491,2.139043,49.680406,378.22415,0.100228,380.639816,21825.0,96.0,234.766667,2688.929688,d015681f554806de3affef86138f19b0b398e94aebe6cad448bccb93b01977c0,a77b19b5401ddc93d039bca9f012f028ff79f520400992e2e691be266156bee1,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-005::rag,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-005,Fari,rag,42,bfloat16,warm_steady_state,3716,453,4169,972.416084,29.245374,106.601081,859.906871,0.083721,11.685868,1616.764759,16889.036988,1.065652,17875.805933,21825.0,96.0,239.807,2689.027344,c1e3e7b3dedb5f27a5ba3ecac8d32d707c6f1ae212d8d621e3efd11251f66d7b,60bf2ea06ab49c0f610487a0a0e65a5ee9ef8f4c2c86b22ea23f66285bda3dc8,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-006::base,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-006,Fari,base,42,bfloat16,warm_steady_state,117,11,128,,,,,0.005025,2.149771,52.923258,382.479987,0.132084,384.941675,21825.0,96.0,230.453333,2689.027344,2398a068399215339f03dbc5b5f504d7a645f2f07178eccc89699f8845ec5371,67c87583be71279426116e16adbd0c0f364aa711dc3082e8ea576d5f24191fe6,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-006::rag,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-006,Fari,rag,42,bfloat16,warm_steady_state,3878,185,4063,1044.860856,35.955672,161.076435,879.065435,0.071483,10.313393,1736.515772,7223.283132,0.33574,8279.38621,21825.0,97.0,239.164545,2689.027344,fd031bea226947385a449b8dd2611788b32428984a00411860a029acd5daf3b1,2555d0865d39675f44228088f69b07a5508cb2da0ecb5b0d16ef824754a24b66,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-007::base,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-007,Fari,base,42,bfloat16,warm_steady_state,110,11,121,,,,,0.003793,1.20954,45.768058,377.518363,0.123534,378.999552,21825.0,95.0,232.956667,2689.027344,a6dbc958b91d09fa81f526ed8a4e5bb0b21ec74045d887e3628ffbf9bee8be8e,a77b19b5401ddc93d039bca9f012f028ff79f520400992e2e691be266156bee1,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-007::rag,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-007,Fari,rag,42,bfloat16,warm_steady_state,3823,162,3985,965.327313,24.678647,109.978098,850.796133,0.074073,9.704246,1640.8304,6448.197874,1.684797,7426.591175,21825.0,96.0,241.309,2689.175781,5e82dae2d78d627ee066b9806651dbbfe2583caf336b1eb5814ded91372b30ca,fdde27a228052d2676bfd182f1c73736badeff41d71074ba79fae49d515d8a15,unscored_system_performance_companion_run
1.0.0,w04-rag-perf::W03-LONG-FARI-008::base,llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,W03-LONG-FARI-008,Fari,base,42,bfloat16,warm_steady_state,115,11,126,,,,,0.002515,1.663132,49.24591,382.009844,0.128702,383.97402,21825.0,83.333333,233.076667,2689.175781,ef83bdc93658d1f6b253739ee88651730ae9beb3cb75538c0d4afced0b748619,a77b19b5401ddc93d039bca9f012f028ff79f520400992e2e691be266156bee1,unscored_system_performance_companion_run
