candidate_model_key,mask_ratio,row_count,parsed_row_count,mean_task_accuracy,severity_weighted_mean_task_accuracy,pass_rate,original_to_mask_flip_rate,severity_5_failure_count,task_accuracy_degradation_from_complete
flan_t5_base,0.0,14,14,3.642857142857143,4.119047619047619,0.42857142857142855,,0,0.0
flan_t5_base,0.2,14,14,3.5,3.9761904761904763,0.42857142857142855,0.0,0,0.1428571428571428
flan_t5_base,0.4,14,14,3.2857142857142856,3.761904761904762,0.2857142857142857,0.14285714285714285,0,0.3571428571428572
flan_t5_base,0.6,14,14,3.2857142857142856,3.761904761904762,0.2857142857142857,0.14285714285714285,0,0.3571428571428572
llama31_8b_instruct,0.0,14,14,4.642857142857143,4.880952380952381,0.9285714285714286,,0,0.0
llama31_8b_instruct,0.2,14,14,4.5,4.690476190476191,0.7857142857142857,0.14285714285714285,0,0.14285714285714324
llama31_8b_instruct,0.4,14,14,4.571428571428571,4.761904761904762,0.7857142857142857,0.14285714285714285,0,0.07142857142857206
llama31_8b_instruct,0.6,14,14,4.357142857142857,4.642857142857143,0.7142857142857143,0.21428571428571427,0,0.2857142857142865
mistral_7b_instruct_v0_2,0.0,14,14,4.071428571428571,4.214285714285714,0.9285714285714286,,0,0.0
mistral_7b_instruct_v0_2,0.2,14,14,4.071428571428571,4.166666666666667,0.9285714285714286,0.0,0,0.0
mistral_7b_instruct_v0_2,0.4,14,14,3.9285714285714284,4.023809523809524,0.9285714285714286,0.0,0,0.1428571428571428
mistral_7b_instruct_v0_2,0.6,14,14,4.071428571428571,4.214285714285714,0.9285714285714286,0.0,0,0.0
