chunk_size_tokens,faithfulness_coverage,forbidden_point_violation_rows,items,mean_answer_relevance,mean_evidence_fact_recall_at_k,mean_faithfulness,mean_required_point_coverage,metadata_filter_leakage,p50_question_to_response_ms,p95_question_to_response_ms,relevance_coverage,required_point_coverage_coverage,reranking,top_k,variant_id
1024,0.9,0,20,0.437968,0.541667,0.869048,0.766786,0,3050.2715,7122.0122,1.0,1.0,cross_encoder,1,chunk-1024_topk-1_rerank-ce
1024,0.9,0,20,0.37051,0.525,0.849266,0.766786,0,2790.4095,6734.95535,1.0,1.0,none,1,chunk-1024_topk-1_rerank-none
1024,0.95,0,20,0.639153,0.8125,0.933709,0.886548,0,5597.741,9206.78515,1.0,1.0,cross_encoder,3,chunk-1024_topk-3_rerank-ce
1024,0.95,0,20,0.570124,0.804167,0.885088,0.849167,0,5657.438,8846.6701,1.0,1.0,none,3,chunk-1024_topk-3_rerank-none
1024,1.0,0,20,0.605984,0.904167,0.849405,0.969167,0,7809.44,11915.4666,1.0,1.0,cross_encoder,5,chunk-1024_topk-5_rerank-ce
1024,1.0,0,20,0.631559,0.8625,0.9075,0.9325,0,7158.417,11521.77525,1.0,1.0,none,5,chunk-1024_topk-5_rerank-none
256,0.9,0,20,0.437968,0.541667,0.869048,0.766786,0,3105.1,7195.9626,1.0,1.0,cross_encoder,1,chunk-256_topk-1_rerank-ce
256,0.9,0,20,0.37051,0.525,0.849266,0.766786,0,2881.0215,6800.92945,1.0,1.0,none,1,chunk-256_topk-1_rerank-none
256,0.95,0,20,0.639153,0.8125,0.933709,0.886548,0,5650.9385,9161.1216,1.0,1.0,cross_encoder,3,chunk-256_topk-3_rerank-ce
256,0.95,0,20,0.570124,0.804167,0.885088,0.849167,0,5644.4025,8784.9123,1.0,1.0,none,3,chunk-256_topk-3_rerank-none
256,1.0,0,20,0.605984,0.904167,0.849405,0.969167,0,7804.8685,11934.0589,1.0,1.0,cross_encoder,5,chunk-256_topk-5_rerank-ce
256,1.0,0,20,0.631559,0.8625,0.9075,0.9325,0,7145.6145,11518.5561,1.0,1.0,none,5,chunk-256_topk-5_rerank-none
512,0.9,0,20,0.437968,0.541667,0.869048,0.766786,0,3131.0545,7254.3211,1.0,1.0,cross_encoder,1,chunk-512_topk-1_rerank-ce
512,0.9,0,20,0.37051,0.525,0.849266,0.766786,0,2781.2315,6716.7688,1.0,1.0,none,1,chunk-512_topk-1_rerank-none
512,0.95,0,20,0.639153,0.8125,0.933709,0.886548,0,5579.311,9180.04135,1.0,1.0,cross_encoder,3,chunk-512_topk-3_rerank-ce
512,0.95,0,20,0.570124,0.804167,0.885088,0.849167,0,5648.4405,8820.7589,1.0,1.0,none,3,chunk-512_topk-3_rerank-none
512,1.0,0,20,0.605984,0.904167,0.849405,0.969167,0,7794.8615,11921.6307,1.0,1.0,cross_encoder,5,chunk-512_topk-5_rerank-ce
512,1.0,0,20,0.631559,0.8625,0.9075,0.9325,0,7158.763,11613.58695,1.0,1.0,none,5,chunk-512_topk-5_rerank-none
