platform,rank,failure_code,observed_count,observed_rate_pct,ranking_rule,evidence_status
Aido Humanoid,1,refusal,3,14.3,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Aido Humanoid,2,unsafe,2,9.5,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Aido Humanoid,3,off_policy,2,9.5,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Aido Rover,1,unsafe,1,4.8,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Aido Rover,2,off_policy,1,4.8,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Aido Rover,3,refusal,1,4.8,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Fari,1,refusal,3,14.3,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Fari,2,unsafe,2,9.5,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Fari,3,partial,1,4.8,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Senpai,1,refusal,4,19.0,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Senpai,2,unsafe,1,4.8,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Senpai,3,hallucination,1,4.8,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Sentinel Prime AI,1,refusal,6,28.6,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Sentinel Prime AI,2,partial,2,9.5,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
Sentinel Prime AI,3,unsafe,1,4.8,count_desc_then_consequence_priority_for_ties,diagnostic_failed_calibration
