variant_id,chunk_size_tokens,top_k,reranking,mean_answer_relevance,mean_faithfulness,mean_required_point_coverage,quality_harmonic_mean,p50_question_to_response_ms,faithfulness_coverage,required_point_coverage_coverage,is_pareto,is_balanced_choice,evidence_status,experiment_version,seed
chunk-1024_topk-1_rerank-ce,1024,1,cross_encoder,0.545172,0.791479,0.9,0.842258,8738.5165,0.95,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-1024_topk-1_rerank-none,1024,1,none,0.357663,0.712798,0.7,0.706341,7670.487,0.8,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-1024_topk-3_rerank-ce,1024,3,cross_encoder,0.640958,0.836071,0.975,0.900207,8679.4645,1.0,1.0,True,False,diagnostic_uncalibrated,1.1.0,42
chunk-1024_topk-3_rerank-none,1024,3,none,0.491034,0.79812,0.9,0.846004,8821.9695,0.95,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-1024_topk-5_rerank-ce,1024,5,cross_encoder,0.663191,0.909524,0.975,0.941125,10862.915,1.0,1.0,True,True,diagnostic_uncalibrated,1.1.0,42
chunk-1024_topk-5_rerank-none,1024,5,none,0.568916,0.846528,0.9125,0.878277,7526.424,1.0,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-256_topk-1_rerank-ce,256,1,cross_encoder,0.575807,0.835833,0.895833,0.864794,6985.0405,1.0,0.9,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-256_topk-1_rerank-none,256,1,none,0.488497,0.740833,0.809211,0.773514,7951.5035,1.0,0.95,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-256_topk-3_rerank-ce,256,3,cross_encoder,0.599607,0.865789,0.95,0.905942,7617.083,0.95,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-256_topk-3_rerank-none,256,3,none,0.713446,0.8775,0.93125,0.903576,7410.5175,1.0,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-256_topk-5_rerank-ce,256,5,cross_encoder,0.713584,0.810606,0.947368,0.873667,7511.8185,1.0,0.95,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-256_topk-5_rerank-none,256,5,none,0.622855,0.871944,0.95,0.9093,7325.049,1.0,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-512_topk-1_rerank-ce,512,1,cross_encoder,0.544656,0.832024,0.860417,0.845982,7081.1205,1.0,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-512_topk-1_rerank-none,512,1,none,0.44097,0.818067,0.758333,0.787068,6273.759,0.85,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-512_topk-3_rerank-ce,512,3,cross_encoder,0.655842,0.838194,0.9125,0.87377,7678.336,1.0,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-512_topk-3_rerank-none,512,3,none,0.691494,0.85,0.9125,0.880142,7202.8665,0.95,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
chunk-512_topk-5_rerank-ce,512,5,cross_encoder,0.732971,0.901958,0.966667,0.933192,6576.167,1.0,1.0,True,False,diagnostic_uncalibrated,1.1.0,42
chunk-512_topk-5_rerank-none,512,5,none,0.607897,0.808333,0.925,0.86274,6811.531,1.0,1.0,False,False,diagnostic_uncalibrated,1.1.0,42
